,cosine_to_orig,embeddings_rank,from_clipping,from_original_token,from_split,norms_seen,spellcheck_rank,in_lexicon,length,same_order,orig_norms_seen,orig_in_lexicon,orig_same_order,orig_length,correct,raw_tok_index
they've,0.3954453766345978,,1.0,,,,,1.0,7,1.0,515.0,1.0,1.0,3.0,,2_13
tho,0.3463253974914551,,,,,,9.0,1.0,3,,515.0,1.0,1.0,3.0,,2_13
threw,0.4160551130771637,,,,,,15.0,1.0,5,1.0,515.0,1.0,1.0,3.0,,2_13
throe,0.31240934133529663,,,,,,14.0,1.0,5,1.0,515.0,1.0,1.0,3.0,,2_13
thy,0.31254106760025024,,,,,,11.0,1.0,3,,515.0,1.0,1.0,3.0,,2_13
tie,0.3091614544391632,,,,,,8.0,1.0,3,,515.0,1.0,1.0,3.0,,2_13
toe,0.2552972137928009,,,,,,10.0,1.0,3,,515.0,1.0,1.0,3.0,,2_13
entire,0.8453717827796936,0.0,,,,,,1.0,6,,8.0,1.0,1.0,5.0,,2_14
entite,0.7152669429779053,3.0,,,,,,,6,,8.0,1.0,1.0,5.0,,2_14
hole,0.5039777159690857,,,,,,1.0,1.0,4,,8.0,1.0,1.0,5.0,,2_14
thole,0.21721479296684265,,,,,,6.0,,5,,8.0,1.0,1.0,5.0,,2_14
w hole,,,,,,,7.0,,6,1.0,8.0,1.0,1.0,5.0,,2_14
w-hole,,,,,,,8.0,,6,1.0,8.0,1.0,1.0,5.0,,2_14
whale,0.3698904514312744,,,,,,4.0,1.0,5,,8.0,1.0,1.0,5.0,,2_14
while,0.4705357253551483,,,,,,0.0,1.0,5,,8.0,1.0,1.0,5.0,,2_14
who le,,,,,1.0,,,,6,1.0,8.0,1.0,1.0,5.0,,2_14
whole,1.0,,1.0,1.0,,8.0,,1.0,5,1.0,8.0,1.0,1.0,5.0,1.0,2_14
whole's,,,1.0,,,,,1.0,7,1.0,8.0,1.0,1.0,5.0,,2_14
wholeass,0.7228133082389832,2.0,,,,,,,8,1.0,8.0,1.0,1.0,5.0,,2_14
wholehearted,0.3779592216014862,,1.0,,,,,1.0,12,1.0,8.0,1.0,1.0,5.0,,2_14
wholeheartedly,0.4020422399044037,,1.0,,,,,1.0,14,1.0,8.0,1.0,1.0,5.0,,2_14
wholeness,0.3691745102405548,,1.0,,,,,1.0,9,1.0,8.0,1.0,1.0,5.0,,2_14
wholeness's,,,1.0,,,,,1.0,11,1.0,8.0,1.0,1.0,5.0,,2_14
wholes,0.3733317255973816,,1.0,,,,2.0,1.0,6,1.0,8.0,1.0,1.0,5.0,,2_14
wholesale,0.17136569321155548,,1.0,,,,,1.0,9,1.0,8.0,1.0,1.0,5.0,,2_14
wholesale's,,,1.0,,,,,1.0,11,1.0,8.0,1.0,1.0,5.0,,2_14
wholesaled,,,1.0,,,,,1.0,10,1.0,8.0,1.0,1.0,5.0,,2_14
wholesaler,0.175806924700737,,1.0,,,,,1.0,10,1.0,8.0,1.0,1.0,5.0,,2_14
wholesaler's,,,1.0,,,,,1.0,12,1.0,8.0,1.0,1.0,5.0,,2_14
wholesalers,0.07271421700716019,,1.0,,,,,1.0,11,1.0,8.0,1.0,1.0,5.0,,2_14
wholesales,0.16564004123210907,,1.0,,,,,1.0,10,1.0,8.0,1.0,1.0,5.0,,2_14
wholesaling,0.3293308615684509,,1.0,,,,,1.0,11,1.0,8.0,1.0,1.0,5.0,,2_14
wholesome,0.5453945994377136,,1.0,,,,,1.0,9,1.0,8.0,1.0,1.0,5.0,,2_14
wholesomeness,0.46367189288139343,,1.0,,,,,1.0,13,1.0,8.0,1.0,1.0,5.0,,2_14
wholesomeness's,,,1.0,,,,,1.0,15,1.0,8.0,1.0,1.0,5.0,,2_14
wholly,0.4030928313732147,,,,,,10.0,1.0,6,,8.0,1.0,1.0,5.0,,2_14
whoooole,0.7116714715957642,5.0,,,,,,,8,1.0,8.0,1.0,1.0,5.0,,2_14
whooooole,0.7145578265190125,4.0,,,,,,,9,1.0,8.0,1.0,1.0,5.0,,2_14
whoooooole,0.7790091037750244,1.0,,,,,,,10,1.0,8.0,1.0,1.0,5.0,,2_14
whore,0.3584408462047577,,,,,,5.0,1.0,5,,8.0,1.0,1.0,5.0,,2_14
whorl,0.39489641785621643,,,,,,9.0,1.0,5,,8.0,1.0,1.0,5.0,,2_14
whose,0.3829806447029114,,,,,,3.0,1.0,5,,8.0,1.0,1.0,5.0,,2_14
day,0.7362850904464722,0.0,,,,,,1.0,3,,31.0,1.0,1.0,4.0,,2_15
dime,0.41426289081573486,,,,,,14.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
item,0.38777732849121094,,,,,,0.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
lime,0.17065736651420593,,,,,,12.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
mime,0.29221439361572266,,,,,,15.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
mite,0.13473452627658844,,,,,,1.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
rime,0.5605735182762146,,,,,,2.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
tame,0.2551060616970062,,,,,,9.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
ti me,,,,,1.0,,,,5,1.0,31.0,1.0,1.0,4.0,,2_15
tide,0.4124358594417572,,,,,,13.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
tie,0.3727952241897583,,,,,,5.0,1.0,3,,31.0,1.0,1.0,4.0,,2_15
tile,0.22599519789218903,,,,,,11.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
timber,0.24848736822605133,,,,,,18.0,1.0,6,1.0,31.0,1.0,1.0,4.0,,2_15
timbre,0.2826062738895416,,,,,,17.0,1.0,6,1.0,31.0,1.0,1.0,4.0,,2_15
time,1.0,,1.0,1.0,,31.0,16.0,1.0,4,1.0,31.0,1.0,1.0,4.0,1.0,2_15
time's,0.5066277980804443,,1.0,,,,,1.0,6,1.0,31.0,1.0,1.0,4.0,,2_15
timed,0.38539862632751465,,1.0,,,,8.0,1.0,5,1.0,31.0,1.0,1.0,4.0,,2_15
timekeeper,0.39803844690322876,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timekeeper's,,,1.0,,,,,1.0,12,1.0,31.0,1.0,1.0,4.0,,2_15
timekeepers,0.5499255061149597,,1.0,,,,,1.0,11,1.0,31.0,1.0,1.0,4.0,,2_15
timeless,0.3331827223300934,,1.0,,,,,1.0,8,1.0,31.0,1.0,1.0,4.0,,2_15
timelessness,0.35257142782211304,,1.0,,,,,1.0,12,1.0,31.0,1.0,1.0,4.0,,2_15
timelessness's,,,1.0,,,,,1.0,14,1.0,31.0,1.0,1.0,4.0,,2_15
timelier,0.45420730113983154,,1.0,,,,,1.0,8,1.0,31.0,1.0,1.0,4.0,,2_15
timeliest,,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timeline,0.3574317395687103,,1.0,,,,,1.0,8,1.0,31.0,1.0,1.0,4.0,,2_15
timeline's,0.15012004971504211,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timelines,0.2702297270298004,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timeliness,0.32713809609413147,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timeliness's,,,1.0,,,,,1.0,12,1.0,31.0,1.0,1.0,4.0,,2_15
timely,0.3859216570854187,,1.0,,,,,1.0,6,1.0,31.0,1.0,1.0,4.0,,2_15
timepiece,0.32011523842811584,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timepiece's,,,1.0,,,,,1.0,11,1.0,31.0,1.0,1.0,4.0,,2_15
timepieces,0.27417346835136414,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timer,0.5486981272697449,,1.0,,,,7.0,1.0,5,1.0,31.0,1.0,1.0,4.0,,2_15
timer's,0.3837897479534149,,1.0,,,,,1.0,7,1.0,31.0,1.0,1.0,4.0,,2_15
timers,0.5272223949432373,,1.0,,,,,1.0,6,1.0,31.0,1.0,1.0,4.0,,2_15
times,0.6009109616279602,,1.0,,,,6.0,1.0,5,1.0,31.0,1.0,1.0,4.0,,2_15
timescale,0.406870573759079,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timescales,0.40059471130371094,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timestamp,0.3822920620441437,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timestamp's,,,1.0,,,,,1.0,11,1.0,31.0,1.0,1.0,4.0,,2_15
timestamps,0.39166170358657837,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timetable,0.3244486451148987,,1.0,,,,,1.0,9,1.0,31.0,1.0,1.0,4.0,,2_15
timetable's,0.348712295293808,,1.0,,,,,1.0,11,1.0,31.0,1.0,1.0,4.0,,2_15
timetabled,0.3703603744506836,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timetables,0.2914784550666809,,1.0,,,,,1.0,10,1.0,31.0,1.0,1.0,4.0,,2_15
timetabling,0.3507682979106903,,1.0,,,,,1.0,11,1.0,31.0,1.0,1.0,4.0,,2_15
timeworn,0.1476631909608841,,1.0,,,,,1.0,8,1.0,31.0,1.0,1.0,4.0,,2_15
timex,0.36865663528442383,,1.0,,,,,1.0,5,1.0,31.0,1.0,1.0,4.0,,2_15
timex's,,,1.0,,,,,1.0,7,1.0,31.0,1.0,1.0,4.0,,2_15
timezone,0.3663691580295563,,1.0,,,,,1.0,8,1.0,31.0,1.0,1.0,4.0,,2_15
tine,0.6884546279907227,,,,,,4.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
tire,0.3497118055820465,,,,,,10.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
tome,0.5960031151771545,,,,,,3.0,1.0,4,,31.0,1.0,1.0,4.0,,2_15
actuality,0.4801953434944153,,,,,,2.0,1.0,9,,9.0,1.0,1.0,8.0,,2_16
actualize,0.2853223979473114,,,,,,3.0,1.0,9,,9.0,1.0,1.0,8.0,,2_16
actually,1.0,,1.0,1.0,,9.0,0.0,1.0,8,1.0,9.0,1.0,1.0,8.0,1.0,2_16
also,0.8032758235931396,4.0,,,,,,1.0,4,,9.0,1.0,1.0,8.0,,2_16
clearly,0.7983613610267639,6.0,,,,,,1.0,7,,9.0,1.0,1.0,8.0,,2_16
factually,0.5627488493919373,,,,,,1.0,1.0,9,1.0,9.0,1.0,1.0,8.0,,2_16
genuinely,0.8111248016357422,2.0,,,,,,1.0,9,,9.0,1.0,1.0,8.0,,2_16
honestly,0.7986294627189636,5.0,,,,,,1.0,8,,9.0,1.0,1.0,8.0,,2_16
legitimately,0.8267389535903931,1.0,,,,,,1.0,12,,9.0,1.0,1.0,8.0,,2_16
obviously,0.8100872039794922,3.0,,,,,,1.0,9,,9.0,1.0,1.0,8.0,,2_16
really,0.8630174398422241,0.0,,,,,,1.0,6,,9.0,1.0,1.0,8.0,,2_16
that,0.7915613055229187,7.0,,,,,,1.0,4,,9.0,1.0,1.0,8.0,,2_16
awe,0.25560665130615234,,,,,,4.0,1.0,3,1.0,55.0,1.0,1.0,2.0,,2_17
be,0.4720194637775421,,,,,,15.0,1.0,2,,55.0,1.0,1.0,2.0,,2_17
e,0.2927534282207489,,,,,,0.0,,1,,55.0,1.0,1.0,2.0,,2_17
ewe,0.28399449586868286,,,,,,2.0,1.0,3,1.0,55.0,1.0,1.0,2.0,,2_17
he,0.5794540643692017,,,,,,14.0,1.0,2,,55.0,1.0,1.0,2.0,,2_17
me,0.3821897506713867,,,,,,13.0,1.0,2,,55.0,1.0,1.0,2.0,,2_17
owe,0.28073519468307495,,,,,,7.0,1.0,3,1.0,55.0,1.0,1.0,2.0,,2_17
re,0.3754371702671051,,,,,,11.0,1.0,2,,55.0,1.0,1.0,2.0,,2_17
they,0.8102156519889832,0.0,,,,,,1.0,4,,55.0,1.0,1.0,2.0,,2_17
w,0.25885140895843506,,,,,,1.0,,1,,55.0,1.0,1.0,2.0,,2_17
we,1.0,,1.0,1.0,,55.0,,1.0,2,1.0,55.0,1.0,1.0,2.0,1.0,2_17
we'd,0.6535733342170715,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
we'll,0.6256016492843628,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
we're,0.6813375353813171,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
we've,0.6586325168609619,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
weak,0.35358309745788574,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
weaken,0.3436741232872009,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weakened,0.38071224093437195,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weakening,0.35667768120765686,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weakens,0.26207435131073,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weaker,0.29567551612854004,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weakest,0.26640480756759644,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weakfish,,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weakfish's,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weakfishes,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weakling,0.2618207335472107,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weakling's,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weaklings,0.4569206237792969,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weakly,0.2814198434352875,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weakness,0.2097994089126587,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weakness's,0.4223727881908417,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weaknesses,0.2786370813846588,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weal,0.22941069304943085,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
weal's,,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weals,,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
wealth,0.35761499404907227,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wealth's,,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wealthier,0.3351147770881653,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
wealthiest,0.28827786445617676,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
wealthiness,0.41656631231307983,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
wealthiness's,,,1.0,,,,,1.0,13,1.0,55.0,1.0,1.0,2.0,,2_17
wealthy,0.32080385088920593,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wean,0.20555680990219116,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
weaned,0.22533072531223297,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weaning,0.2449968010187149,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weans,0.26657310128211975,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
weapon,0.2778983414173126,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weapon's,0.23548758029937744,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weaponless,0.3497076630592346,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weaponry,0.31329017877578735,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weaponry's,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weapons,0.32718437910079956,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wear,0.31024670600891113,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
wear's,0.06336624920368195,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wearable,0.20624609291553497,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wearer,0.19136440753936768,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wearer's,0.19733181595802307,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wearers,0.2884056270122528,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wearied,0.35117319226264954,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wearier,,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wearies,0.3328395187854767,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weariest,0.3940412402153015,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wearily,0.2877308130264282,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weariness,0.25040730834007263,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weariness's,,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
wearing,0.24651259183883667,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wearisome,0.4100619852542877,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
wears,0.16351191699504852,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
weary,0.2702019512653351,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
wearying,0.39134493470191956,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weasel,0.3084939122200012,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weasel's,0.24116730690002441,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weaseled,0.2891930043697357,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weaseling,0.378417432308197,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weasels,0.4344855546951294,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weather,0.26695165038108826,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weather's,0.23092375695705414,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weathercock,0.30350154638290405,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
weathercock's,,,1.0,,,,,1.0,13,1.0,55.0,1.0,1.0,2.0,,2_17
weathercocks,,,1.0,,,,,1.0,12,1.0,55.0,1.0,1.0,2.0,,2_17
weathered,0.3439539670944214,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weathering,0.3347744345664978,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weathering's,,,1.0,,,,,1.0,12,1.0,55.0,1.0,1.0,2.0,,2_17
weatherize,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weatherized,,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
weatherizes,,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
weatherizing,,,1.0,,,,,1.0,12,1.0,55.0,1.0,1.0,2.0,,2_17
weatherman,0.23196882009506226,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weatherman's,0.25423163175582886,,1.0,,,,,1.0,12,1.0,55.0,1.0,1.0,2.0,,2_17
weathermen,0.40616661310195923,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
weatherproof,0.19231754541397095,,1.0,,,,,1.0,12,1.0,55.0,1.0,1.0,2.0,,2_17
weatherproofed,,,1.0,,,,,1.0,14,1.0,55.0,1.0,1.0,2.0,,2_17
weatherproofing,0.23942002654075623,,1.0,,,,,1.0,15,1.0,55.0,1.0,1.0,2.0,,2_17
weatherproofs,,,1.0,,,,,1.0,13,1.0,55.0,1.0,1.0,2.0,,2_17
weathers,0.21388405561447144,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weave,0.16246259212493896,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
weave's,0.1620202362537384,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weaved,0.23701941967010498,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weaver,0.20266209542751312,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weaver's,0.21901755034923553,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weavers,0.2762179970741272,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weaves,0.20068232715129852,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weaving,0.21561872959136963,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
web,0.2251404970884323,,1.0,,,,10.0,1.0,3,1.0,55.0,1.0,1.0,2.0,,2_17
web's,0.1941339075565338,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
webb,0.16960014402866364,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
webb's,0.32191264629364014,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
webbed,0.1802797168493271,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
webbing,0.1484196037054062,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webbing's,,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
webcam,0.11873990297317505,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
webcam's,0.36753594875335693,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
webcams,0.2064182013273239,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webcast,0.2609609067440033,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webcast's,,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
webcasting,0.3305170238018036,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
webcasts,0.33184701204299927,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
weber,0.17378543317317963,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
weber's,0.4866059124469757,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webern,,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
webern's,,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
webinar,0.3006933331489563,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webinar's,0.4465169906616211,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
webinars,0.3733729422092438,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
webisode,0.12006652355194092,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
webisode's,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
webisodes,0.20547765493392944,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
webmaster,0.222763329744339,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
webmaster's,0.4000808596611023,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
webmasters,0.34611308574676514,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
webmistress,,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
webmistress's,,,1.0,,,,,1.0,13,1.0,55.0,1.0,1.0,2.0,,2_17
webmistresses,,,1.0,,,,,1.0,13,1.0,55.0,1.0,1.0,2.0,,2_17
webs,0.17812788486480713,,1.0,,,,,1.0,4,1.0,55.0,1.0,1.0,2.0,,2_17
website,0.3201722502708435,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
website's,0.1920798122882843,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
websites,0.2508173882961273,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
webster,0.1559874564409256,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
webster's,0.20478962361812592,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
websters,0.12124785780906677,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wed,0.25581395626068115,,1.0,,,,9.0,1.0,3,1.0,55.0,1.0,1.0,2.0,,2_17
wedded,0.2934536039829254,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
weddell,,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
weddell's,,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
wedder,0.1623700112104416,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wedding,0.29943904280662537,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wedding's,0.2067997008562088,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
weddings,0.282754510641098,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wedge,0.23618705570697784,,1.0,,,,,1.0,5,1.0,55.0,1.0,1.0,2.0,,2_17
wedge's,,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wedged,0.15267333388328552,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wedges,0.04539808630943298,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wedgie,0.08190163224935532,,1.0,,,,,1.0,6,1.0,55.0,1.0,1.0,2.0,,2_17
wedgies,0.0789395123720169,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wedging,0.29067447781562805,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wedgwood,0.2593555152416229,,1.0,,,,,1.0,8,1.0,55.0,1.0,1.0,2.0,,2_17
wedgwood's,,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
wedlock,0.2704147696495056,,1.0,,,,,1.0,7,1.0,55.0,1.0,1.0,2.0,,2_17
wedlock's,,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
wednesday,0.21372228860855103,,1.0,,,,,1.0,9,1.0,55.0,1.0,1.0,2.0,,2_17
wednesday's,0.2482038289308548,,1.0,,,,,1.0,11,1.0,55.0,1.0,1.0,2.0,,2_17
wednesdays,0.1978604644536972,,1.0,,,,,1.0,10,1.0,55.0,1.0,1.0,2.0,,2_17
